City_Name,Departure_Time,Arrival_Time
Adelaide,0.0,2.0
Adelaide,0.02,2.03
Adelaide,0.04,0.8300000000000001
Adelaide,0.06,2.71
Adelaide,0.08,1.51
Ayers Rock,0.0,2.7
Ballina,0.0,0.77
Brisbane,0.0,2.0
Brisbane,0.02,1.77
Brisbane,0.04,3.61
Brisbane,0.06,2.27
Brisbane,0.08,1.09
Brisbane,0.1,1.86
Brisbane,0.12000000000000001,2.9
Brisbane,0.14,1.27
Brisbane,0.16,1.08
Brisbane,0.18,1.5799999999999998
Cairns,0.0,1.75
Cairns,0.02,2.96
Cairns,0.04,2.5
Darwin,0.0,3.57
Darwin,0.02,3.96
Darwin,0.04,3.97
Gold Coast,0.0,2.01
Gold Coast,0.02,1.75
Gold Coast,0.04,0.89
Hamilton Island,0.0,1.9
Hobart,0.0,2.21
Hobart,0.02,0.76
Hobart,0.04,1.34
Launceston,0.0,0.57
Launceston,0.02,1.16
Mackay,0.0,1.01
Melbourne,0.0,0.79
Melbourne,0.02,1.78
Melbourne,0.04,2.98
Melbourne,0.06,4.0
Melbourne,0.08,1.81
Melbourne,0.1,0.84
Melbourne,0.12000000000000001,0.69
Melbourne,0.14,4.07
Melbourne,0.16,3.5100000000000002
Melbourne,0.18,1.06
Melbourne,0.19999999999999998,1.1300000000000001
Newcastle,0.0,2.78
Newcastle,0.02,3.95
Perth,0.0,2.65
Perth,0.02,3.37
Perth,0.04,4.13
Proserpine,0.0,1.13
Proserpine,0.02,1.91
Sunshine Coast,0.0,0.88
Sunshine Coast,0.02,1.02
Sydney,0.0,1.43
Sydney,0.02,2.72
Sydney,0.04,0.81
Sydney,0.06,0.98
Sydney,0.08,2.54
Sydney,0.1,4.03
Sydney,0.12000000000000001,0.97
Sydney,0.14,2.04
Sydney,0.16,1.46
Sydney,0.18,1.3199999999999998
Sydney,0.19999999999999998,1.1300000000000001
Sydney,0.21999999999999997,4.31
Sydney,0.23999999999999996,2.13
Sydney,0.25999999999999995,1.26
Sydney,0.27999999999999997,2.3899999999999997
Townsville,0.0,1.4
Townsville,0.02,2.13
Adelaide,0.1,1.75
Adelaide,0.12000000000000001,2.12
Adelaide,0.14,1.35
Adelaide,0.16,0.9500000000000001
Adelaide,0.18,2.83
Adelaide,0.19999999999999998,1.63
Alice Springs,0.0,1.65
Brisbane,0.19999999999999998,2.2
Brisbane,0.21999999999999997,1.97
Brisbane,0.23999999999999996,3.8099999999999996
Brisbane,0.25999999999999995,2.4699999999999998
Brisbane,0.27999999999999997,2.04
Brisbane,0.3,2.26
Brisbane,0.32,4.82
Brisbane,0.34,1.26
Brisbane,0.36000000000000004,1.76
Cairns,0.06,1.81
Cairns,0.08,3.02
Cairns,0.1,2.56
Canberra,0.0,1.21
Canberra,0.02,0.67
Darwin,0.06,3.63
Darwin,0.08,4.02
Darwin,0.1,3.42
Darwin,0.12000000000000001,4.05
Gold Coast,0.06,1.79
Gold Coast,0.08,0.9299999999999999
Hamilton Island,0.02,1.92
Hobart,0.06,2.27
Hobart,0.08,0.82
Hobart,0.1,1.4000000000000001
Kalgoorlie,0.0,0.68
Karratha,0.0,1.57
Melbourne,0.21999999999999997,1.01
Melbourne,0.25999999999999995,2.02
Melbourne,0.23999999999999996,3.1799999999999997
Melbourne,0.27999999999999997,0.9299999999999999
Melbourne,0.3,4.24
Melbourne,0.32,2.05
Melbourne,0.34,1.08
Melbourne,0.36000000000000004,3.71
Melbourne,0.38000000000000006,1.31
Mount Isa,0.0,1.96
Newman,0.0,1.28
Perth,0.06,2.71
Perth,0.08,4.58
Perth,0.1,3.42
Perth,0.12000000000000001,0.8
Perth,0.14,1.71
Perth,0.16,3.5100000000000002
Perth,0.18,1.46
Perth,0.19999999999999998,1.8499999999999999
Perth,0.21999999999999997,4.31
Port Hedland,0.0,1.65
Sydney,0.3,1.73
Sydney,0.32,1.24
Sydney,0.34,2.8
Sydney,0.36000000000000004,4.29
Sydney,0.38000000000000006,1.23
Sydney,0.4000000000000001,2.3
Sydney,0.4200000000000001,1.7200000000000002
Sydney,0.4400000000000001,1.37
Sydney,0.46000000000000013,4.55
Townsville,0.04,1.44
Adelaide,0.21999999999999997,2.2199999999999998
Adelaide,0.23999999999999996,1.45
Adelaide,0.25999999999999995,0.57
Adelaide,0.27999999999999997,1.71
Albury,0.0,0.55
Alice Springs,0.02,1.65
Armidale,0.0,0.48
Brisbane,0.38000000000000006,2.38
Brisbane,0.4000000000000001,0.78
Brisbane,0.4200000000000001,2.17
Brisbane,0.4400000000000001,1.61
Brisbane,0.46000000000000013,1.28
Brisbane,0.48000000000000015,1.0400000000000003
Brisbane,0.5000000000000001,1.63
Brisbane,0.5200000000000001,1.5300000000000002
Brisbane,0.5400000000000001,2.3000000000000003
Brisbane,0.5600000000000002,3.34
Brisbane,0.5800000000000002,1.2400000000000002
Brisbane,0.6000000000000002,1.5200000000000002
Brisbane,1.02,2.42
Broome,0.0,2.11
Bundaberg,0.0,0.38
Cairns,0.12000000000000001,1.87
Cairns,0.14,0.5
Canberra,0.04,1.25
Canberra,0.06,1.23
Canberra,0.08,0.73
Canberra,0.1,0.38
Coffs Harbour,0.0,0.56
Darwin,0.14,1.77
Dubbo,0.0,0.37
Emerald,0.0,0.82
Geraldton,0.0,0.46
Gladstone,0.0,0.56
Gold Coast,0.1,0.95
Hamilton Island,0.04,1.17
Hamilton Island,0.06,1.96
Hobart,0.12000000000000001,1.4200000000000002
Kalgoorlie,0.02,0.7000000000000001
Karratha,0.02,1.59
Launceston,0.04,0.61
Mackay,0.02,1.03
Melbourne,0.4000000000000001,2.16
Melbourne,0.4200000000000001,1.07
Melbourne,0.4400000000000001,1.01
Melbourne,0.46000000000000013,1.05
Mildura,0.0,0.59
Newcastle,0.04,2.82
Newman,0.02,1.3
Perth,0.23999999999999996,2.3499999999999996
Perth,0.25999999999999995,0.72
Perth,0.27999999999999997,0.96
