Airline,Departing_Port,Arriving_Port,Flight_Scheduled,Flights_Flown,Year,Month_Num
Jetstar,Adelaide,Brisbane,30,30,2019,1
Jetstar,Adelaide,Gold Coast,39,39,2019,1
Jetstar,Adelaide,Melbourne,123,118,2019,1
Jetstar,Adelaide,Perth,30,29,2019,1
Jetstar,Adelaide,Sydney,140,130,2019,1
Jetstar,Ayers Rock,Sydney,27,27,2019,1
Jetstar,Ballina,Sydney,104,102,2019,1
Jetstar,Brisbane,Adelaide,30,30,2019,1
Jetstar,Brisbane,Cairns,117,115,2019,1
Jetstar,Brisbane,Darwin,29,29,2019,1
Jetstar,Brisbane,Hobart,44,44,2019,1
Jetstar,Brisbane,Mackay,31,31,2019,1
Jetstar,Brisbane,Melbourne,181,177,2019,1
Jetstar,Brisbane,Newcastle,92,92,2019,1
Jetstar,Brisbane,Proserpine,44,43,2019,1
Jetstar,Brisbane,Sydney,187,175,2019,1
Jetstar,Brisbane,Townsville,48,48,2019,1
Jetstar,Cairns,Brisbane,116,112,2019,1
Jetstar,Cairns,Melbourne,114,112,2019,1
Jetstar,Cairns,Sydney,126,121,2019,1
Jetstar,Darwin,Brisbane,29,29,2019,1
Jetstar,Darwin,Melbourne,30,30,2019,1
Jetstar,Darwin,Sydney,31,31,2019,1
Jetstar,Gold Coast,Adelaide,39,39,2019,1
Jetstar,Gold Coast,Melbourne,240,234,2019,1
Jetstar,Gold Coast,Sydney,343,323,2019,1
Jetstar,Hamilton Island,Sydney,32,30,2019,1
Jetstar,Hobart,Brisbane,44,44,2019,1
Jetstar,Hobart,Melbourne,245,241,2019,1
Jetstar,Hobart,Sydney,130,128,2019,1
Jetstar,Launceston,Melbourne,202,201,2019,1
Jetstar,Launceston,Sydney,91,91,2019,1
Jetstar,Mackay,Brisbane,31,31,2019,1
Jetstar,Melbourne,Adelaide,123,118,2019,1
Jetstar,Melbourne,Brisbane,182,177,2019,1
Jetstar,Melbourne,Cairns,115,113,2019,1
Jetstar,Melbourne,Darwin,30,30,2019,1
Jetstar,Melbourne,Gold Coast,240,233,2019,1
Jetstar,Melbourne,Hobart,245,242,2019,1
Jetstar,Melbourne,Launceston,201,200,2019,1
Jetstar,Melbourne,Newcastle,121,119,2019,1
Jetstar,Melbourne,Perth,62,60,2019,1
Jetstar,Melbourne,Sunshine Coast,86,86,2019,1
Jetstar,Melbourne,Sydney,461,435,2019,1
Jetstar,Newcastle,Brisbane,92,92,2019,1
Jetstar,Newcastle,Melbourne,121,119,2019,1
Jetstar,Perth,Adelaide,30,28,2019,1
Jetstar,Perth,Melbourne,62,59,2019,1
Jetstar,Perth,Sydney,31,31,2019,1
Jetstar,Proserpine,Brisbane,44,42,2019,1
Jetstar,Proserpine,Sydney,14,14,2019,1
Jetstar,Sunshine Coast,Melbourne,87,87,2019,1
Jetstar,Sunshine Coast,Sydney,122,119,2019,1
Jetstar,Sydney,Adelaide,139,132,2019,1
Jetstar,Sydney,Ayers Rock,27,27,2019,1
Jetstar,Sydney,Ballina,104,103,2019,1
Jetstar,Sydney,Brisbane,187,175,2019,1
Jetstar,Sydney,Cairns,125,121,2019,1
Jetstar,Sydney,Darwin,31,31,2019,1
Jetstar,Sydney,Gold Coast,342,324,2019,1
Jetstar,Sydney,Hamilton Island,31,30,2019,1
Jetstar,Sydney,Hobart,130,128,2019,1
Jetstar,Sydney,Launceston,90,90,2019,1
Jetstar,Sydney,Melbourne,462,431,2019,1
Jetstar,Sydney,Perth,31,31,2019,1
Jetstar,Sydney,Proserpine,14,14,2019,1
Jetstar,Sydney,Sunshine Coast,122,120,2019,1
